compid;compid;composito;holeid;midx;midy;midz;sampleid;campana;starkey_min;bwi_kwh_tc;bwi_kwh_tm;ai_;rec_cut_pct;rec_as_pct;rec_ag_pct;rec_zn_pct;rec_peso_pct;velsed_cf12_mh;pct_sol_finalescf;velsed_sflo_mh;sol_finalessf_pct;ys54pct_pa;ys57pct_pa;ys60pct_pa;ph_natural;lito;alte;piso;uge;ind88;ugm_starkey;ugm_wi;ugm_rec_cu;ugm_rec_as;ugm_rec_ag;ugm_rec_ag_a;ugm_rec_zn;ugm_velsed;ugm_ys;kcuklimpel;kagklimpel;kcugz;kaggz;recmasicacf_12min;recmasicatf_12min;bo;cs;cpy;cv;esf;en;py;tetra;ten;ag;as;au;cut;cus;fet;mo;pb;sb;zn
compid;compid;PGD-035;MHDD0089;9204.785;25056.825;2157.222;MGM-17943;PGD2016;9.5;9.3;10.3;-99;88.8;14.3;75.1;61.1;14.33;0.2;42.76;0.05;24.7;6.17;14.86;30.2;-99;Andesita;Filica;BAS;C5;1;3;3;4;4;5;5;2;4;2;-99;-99;0.2;-99;14.854;14.333;0.02;0.33;0.59;0;0.39;0.02;12.57;0;0;0.001;0.004;0.02;0.64;0.01;5.76;0.007;0.014;0.001;0.212
compid;compid;PGD-036;MHDD0064;9110.487;25036.365;2174.384;MGM-17944;PGD2016;22.8;11.1;12.2;-99;95.6;88.9;84.3;70.8;21.92;25;53.16;0.31;50.53;2.99;5.63;12.65;-99;Granodiorita;Argilica Ava;AAS;BHX;1;5;5;3;3;3;3;3;23;4;-99;-99;0.2;-99;20.722;21.923;0.02;1.72;0.02;0;0.06;1.51;11.74;0.05;0.34;0.004;0.19;0.03;2.24;0.21;5.56;0.002;0.041;0.008;0.041
compid;compid;PGD-037;MHDD0064;9112.788;25036.466;2166.462;MGM-17945;PGD2016;21.7;10.5;11.5;-99;89.2;93.9;91.7;85.6;33.87;13.1;54.14;0.22;44.2;3.78;5.42;10.7;-99;Granodiorita;Argilica Ava;AAS;BHX;1;5;5;3;3;3;3;3;23;4;-99;-99;0.5;-99;33.089;33.867;0.02;1.72;0.02;0;0.06;1.51;11.74;0.05;0.34;0.004;0.19;0.03;2.24;0.21;5.56;0.002;0.041;0.008;0.041
compid;compid;PGD-038;MHDD0064;9115.378;25036.578;2157.844;MGM-17946;PGD2016;28.3;10.7;11.8;-99;94.7;80.7;90.7;62.8;19.2;25.1;54.76;0.24;45.87;6.94;8.72;20.79;-99;Granodiorita;Argilica Ava;AAS;C5;1;5;5;3;3;3;3;3;23;5;-99;-99;0.3;-99;18.45;19.203;0.14;1.54;0.05;0;0.03;1.11;10.12;0.01;0.14;0.003;0.099;0.03;2.17;0.13;4.59;0.001;0.039;0.002;0.025
compid;compid;PGD-039;MHDD0064;9120.906;25036.844;2139.93;MGM-17947;PGD2016;43.2;12.6;13.9;-99;96;97.4;93.7;88.1;19.56;28.2;56.07;0.18;43.09;6.44;8.07;9.69;-99;Andesita;Argilica Ava;AAS;C5;1;5;5;3;3;3;3;3;6;5;-99;-99;0.6;-99;20.394;19.565;0.03;0.51;0.04;0;0.03;0.39;8.25;0.01;0.18;0.002;0.074;0.03;1.17;0.07;3.56;0.001;0.025;0.002;0.026
compid;compid;PGD-040;MHDD0064;9131.156;25037.307;2104.643;MGM-17948;PGD2016;20.4;11.7;12.9;-99;96;94.2;89;60.9;18.42;29.4;58.47;0.25;54.57;2.49;4.04;5.75;-99;Granodiorita;Argilica Ava;AAS;C5;1;5;5;3;3;3;3;3;23;5;-99;-99;0.6;-99;18.66;18.418;0.06;1.02;0.43;0;0.03;0.41;9.01;0.03;0.1;0.002;0.11;0.03;0.75;0.08;4.23;0.002;0.017;0.006;0.022
compid;compid;PGD-041;MHDD0064;9144.176;25037.759;2059.226;MGM-17949;PGD2016;18.4;15.1;16.6;-99;94;50.9;58.3;78.8;13.44;25.2;55.7;0.15;43.33;3.08;8.15;9.34;-99;Granodiorita;Filica;BAS;C5;1;3;3;4;4;5;5;2;4;3;-99;-99;0.7;-99;13.211;13.441;0;0.57;0.62;0;0.21;0.02;6.69;0;0;0.001;0.01;0.05;0.45;0.03;3.38;0.003;0.068;0;0.133
compid;compid;PGD-042;MHDD0064;9150.972;25037.978;2033.872;MGM-17950;PGD2016;18.8;15;16.6;-99;86.1;24.9;49.9;70.7;12.45;2.6;52.83;0.07;30.22;7.01;9.14;17.61;-99;Granodiorita;Filica;BAS;C5;0;3;3;5;4;5;5;2;4;3;-99;-99;0.3;-99;17.34;12.45;0.16;0.24;0.35;0;0.13;0.02;5.99;0;0;0.001;0.005;0.07;0.57;0.02;3.17;0.006;0.079;0;0.124
compid;compid;PGD-043;MHDD0064;9153.87;25038.018;2023.002;MGM-17951;PGD2016;12.5;12.8;14.2;-99;89.4;47.4;51.8;51.7;11.4;0.7;42.87;0.05;26;8.1;11.05;18.27;-99;Granodiorita;Filica;BAS;C5;1;3;3;4;4;5;5;2;4;3;-99;-99;0.7;-99;11.174;11.403;0.34;0.23;0.44;0;0.16;0.02;5.82;0;0;0.001;0.006;0.13;0.51;0.02;3.07;0.005;0.05;0;0.141
compid;compid;PGD-044;MHDD0062;8950.938;25011.71;2079.291;MGM-17952;PGD2016;43.8;13.4;14.7;-99;74.3;78;72.3;78.1;14.28;21.6;57.43;0.23;51.64;1.39;4.01;7.84;-99;Brecha Hidro;Argilica Ava;AAS;BHX;0;5;5;5;3;3;3;3;23;4;-99;-99;0.2;-99;9.143;14.279;0;0.05;0.01;0;0.22;3.37;10.7;0.04;0.88;0.001;0.239;0.02;1.43;0.02;3.65;0.001;0.039;0.061;0.207
